page,line,front,explanation
4,24,Amigo,friend
4,25,Amity,dosti
5,1,Amorous,ishiqia
5,2,Ample,"enough or more than enough, plenty full"
5,3,Analogy,"comparing one with other, mushabahat , resemble , same"
5,4,Analysis,"investigation , a detail explanation of something , samjhana, tashreeh"
5,5,Analyze,"check, check out , examine, tajziya karna"
5,6,Ankle,"takhna , leg bone"
5,7,Annoy,"anger ,gussa"
5,8,Anticipated,"Expected hope fully , predicted"
5,9,Apologize,"mu’aafi mangna , ma,azarat karna"
5,10,Apology,mafi
5,11,Apparent,"obvious, zahir hai"
5,12,Appear,"seem, lagna ,pahonchna,dour se nazar aana,"
5,13,Approach,"proposal , qareeb aana ya pahonchna door se"
5,14,Approach,"come near to in distance , go to with proposal or request"
5,15,Appropriate,"proper , suitable"
5,16,Approval,manzoori
5,17,Approve,manzoor karna
5,18,Approximate,"ghaliban , taqreeban , lag bhag"
5,19,Arena,"akhada , kadai ka akhada"
5,20,Argue,"exchanging conflicting views heatly , Bahes"
5,21,Aroma,"a pleasant smell , mahek , khushbu"
5,22,Arouse,"bring out someone feeling or response , ubharna"
5,23,Arrogances,"faqar , takabbur"
5,24,As far,jahan tak
5,25,As long as,jab tak
6,1,As of now,abhi tak
6,2,Aside,"to one side, Alag"
6,3,Aspects,"nukt e nazar , viewpoint"
6,4,Aspirant,"a person with ambitions to be something, tarraqi ki kwahish rakhne"
6,5,wala,
6,6,Assassin,"Qaatil , jis ne murder kiya"
6,7,Assault,uper chadh kar hamla karna
6,8,Assistance,Support or help
6,9,"At the moment , varying moment",isi waqt
6,10,Attention,"special care or consideration , dihan"
6,11,Attire,"cloths of a particular kind , special kapde"
6,12,Attracted,kashish
6,13,Attribute,"properties , regard"
6,14,Authentic,"genuine, musddaqa , tasdeeq shuda"
6,15,Authorize,"give professional permission for , ikhtiyaar"
6,16,Autobiography,khud ki life story likhna
6,17,Aware,"conscious maloom hai , janne wala , iam aware from that"
6,18,Awesome,"Inspiring awe, admiration or wonder"
6,19,Awful,"ruaab dar , awful, awfulness"
6,20,Awkward,"bhadda , Hard to deal with , embarrassment"
6,21,Bachelor,ghair shadi shuda
6,22,Backstab,"kisi k piche kuch bolna , ghibat"
6,23,Backward,piche ko
6,24,Balance,tarazuh
6,25,Banquet,badi dawat
7,1,Bare,"jhelna, I can’t bare him anymore, uncover , koi beparda cheez"
7,2,Barely,not in compete details
7,3,Bargain,paise ya daam chukana
7,4,Barrier,"a boundary or limit, hadd,"
7,5,Battle,"muqaabla, ladai"
7,6,Be,hona
7,7,Be the way you are,jaise ho waise hi raho
7,8,Bearable,"gawara , qabil e bardaasht"
7,9,Because,qiyon k
7,10,Beckon,ungli k ishare se bulana
7,11,Become,"hona , banna"
7,12,Been,past of be
7,13,Behalf,ki taraf se
7,14,Behind,piche
7,15,Behold,dekhna
7,16,Belief,aaqida
7,17,Believe,"maan,na , sahi tasleem karna"
7,18,Belong,ka hona
7,19,Belongings,samaan
7,20,Beloved,"chahita , pasandeeda"
7,21,Beneath,"kam samajhna , niche, kam darje ka samajh na"
7,22,Beneficial,profitable
7,23,Bequeath,"will karna, wasiat karna"
7,24,Beside,bazu
7,25,Betray,ghaddari karna
8,1,Beware,"careful,,beware from that , hoshiyaar raho"
8,2,Beyond,"At the further side, had ke paar"
8,3,Bide,"intezar karna , mouqe k talash me rehna"
8,4,Bilateral,do tarfa
8,5,Biography,once life story written by another
8,6,Bizarre,"very strange , un usual"
8,7,Black berry,kala jamun
8,8,Blah,"meaning less talk , idle , nonsense"
8,9,Blame,ilzam lagana
8,10,Blaze,shola
8,11,Blitz,achanak sakht hawai hamla
8,12,Blond,"gora , gori"
8,13,Bloody,kambakhat
8,14,Blossom,"flower , have flowers"
8,15,Bluff,"beiman , jhota"
8,16,Blunder,foolish and careless mistake
8,17,Blur,dhundla
8,18,Blurt,"youn hi bol uthna , sudden"
8,19,Blush,"cehra laal hona, ya cehre par laali lagana , like women does"
8,20,Boast,badepan ka dikhawa karna
8,21,Boil,ubal kar pakana
8,22,Bold,"dhitt , niddar"
8,23,Boom,danadan topon ka girjaana
8,24,Borrow,qarza lena
8,25,Bother,"Takleef ,Take the trouble to do something; concern oneself"
9,1,Boutique,"stylish garments shop , stylish kapdon ki shop"
9,2,Bow,sar jhukana
9,3,Brake,"brake lagana , ruk jaana"
9,4,Brave,bahaddur
9,5,Brawl,ladai jhagda
9,6,Breadth,choudai
9,7,Break,waqfa
9,8,Break down,stop working (cars or machines)
9,9,Bribe,rishwat
9,10,Bride,dulhan
9,11,Bridegroom,dulha
9,12,Brief,"mukhtasar, in short duration , concise , full of knowledge"
9,13,Bring up,"paalna , parwarish karna"
9,14,Bug,"khatmal , nafarat ka ba’eys (reason)"
9,15,Bunch,"guchha , bunch of people , plenty of people"
9,16,But how,wo kaise
9,17,Buzz,bhanak
9,18,By hook or by crook,koi bhi tariqe se hasil karna galat ho ya sahi
9,19,By the way,Introducing a different topic
9,20,Cajole,meethi aur achi baten kar k phuslane wala
9,21,Campaign,Kisi muhim(publicly koi work) me hissa lena
9,22,Caravan,"qafila , musafir haji sahib"
9,23,Cargo,jahaz me bhara hoa samaan
9,24,Catering,"Provide , mayyassar karna"
9,25,Cease,Khatam hao gaya
10,1,Celebrity,"mashoor , A widely known person , Illustrious"
10,2,Certain,"yaqinan , koi"
10,3,Chasing,picha karna
10,4,Cheer,khoushi
10,5,Chick,Informal term for a (young) woman
10,6,Chronicle,record a series of events in details
10,7,Circumstances,"condition concern with an event , Halaat"
10,8,Civic,"having to do with a city or town , baldiyati"
10,9,Claim,dawaa karna
10,10,Climate,mousam
10,11,Climax,point of greatest interest in a story
10,12,Cocktail,mixed fruit juice
10,13,Co-incidence,"a remarkable occurrence , ittefaq"
10,14,Collaboration,"Work jointly on a project , taaon"
10,15,Combat,"ladai , muqabala"
10,16,Come right back,wapas aao
10,17,Command,"order , hukm"
10,18,Commence,"Begin , shuruaat , start"
10,19,Commencement,"Beginning of something , aagaz , shuruat ,"
10,20,Commend,tareef karna
10,21,Commendable,tareef k qabil
10,22,Comment,"tabsiraa , koi cheez par labi baat karna"
10,23,Commercial,"tijarati , karobari"
10,24,Commit,"mubtela hona , commit sin , gunah karna"
10,25,Commitment,promise
11,1,Communal,ijtemai hangama
11,2,Compensate,ghakati ya koi cheez ki bhar pai karna
11,3,Complement,"izafi , ziyada"
11,4,Complementary,"koi kami puri karne wali cheez ,ice is complementary with"
11,5,water,
11,6,Comprehensive,detailed
11,7,Conceal,"chupana , covering from being known or shown ,"
11,8,Concession,"koi cheez me kami , like discount"
11,9,Concise,"short and full of information , mukhtasar aur malumati"
11,10,Concord,"ittefaq , agreement , harmony"
11,11,Confide,raaz
11,12,Confine,"mehdood , in limits"
11,13,Conflict,"a serious disagreement, nazariye me iqtelaff"
11,14,Congregation,namaaz ki jamaat
11,15,Conscious,aware
11,16,Consequence,"Result , anjaam"
11,17,Conservative,mazhabi
11,18,Consistency,"isteqamat , degree firmness"
11,19,Console,"tasalli dena , and a panel or unit containing set of controls"
11,20,Consolidate,"jodna , combine"
11,21,Contemporary,"at present ,we are Contemporaries"
11,22,Contemporary,"hum waqt, hum umr, ek hi umr k"
11,23,Contradiction,"diffrence , iqtelaaf"
11,24,Contrary,bar khilaaf
11,25,Contribute,"with the help of , madaad , taaon"
12,1,Controversy,"Badly debate , bahot ladai jhagda"
12,2,Convenience,"feedom from difficulty, sahoolat"
12,3,Convenient,aasan
12,4,Convey,"communicate feelings ,transport, lejana , covey my wishs"
12,5,Convince,"yaqeen dilana , manana"
12,6,Cop,police
12,7,Cope,nipat lena
12,8,Couch,doctors ka bed jis pe patient ko leta te
12,9,Cough (kof),"khansna , khakharna"
12,10,Could right,sahi ho sakta
12,11,Courage,himmat
12,12,Coward,buzdil
12,13,Crack,"solve karna , suraak , ched"
12,14,Credit,source of honour
12,15,Creditor,Qarza dene wala
12,16,Creed,"a system of religious believe , maslak"
12,17,Crew,A group working to gather
12,18,Criteria,miaar e usool
12,19,Criticize,"finding fault , ghalatian nikalna"
12,20,Crowd,"logon ka jama hona , bheed"
12,21,Crucial,"Of extreme importance , essential"
12,22,Cultivate,develop kiya hai
12,23,Cure,"ilaj , treatment"
12,24,Curiosity,"justujoo , strongly wanted to learn or do something"
12,25,Curriculum,prescribed course of study
13,1,Curriculum,jo course kye hai uske bare me likhi hoi details
13,2,Cursed,"sharapit , baddua"
13,3,Dare,jurrat
13,4,Debar,"kharij karna , mam’nu qarar dena"
13,5,Debate,"discussion , bahez"
13,6,Debt,qarz
13,7,Debut ( day-boo),"naya chehra , pehla taa’ruf"
13,8,Decade,das saal ka waqt
13,9,Deceive,dhoka
13,10,Decent,"shaant , shareef"
13,11,Deduction,koi cheez me kami karna
13,12,Deed,kaam
13,13,Defend,bachao
13,14,"Deform , deformed , deformity",badsuraat
13,15,Delight,"Glad , khushi , masarrat,"
13,16,Demean,zaleel karna
13,17,Deny,inkar
13,18,Depress,ma’use
13,19,Depressing,afsoos
13,20,Describe,bayan karna
13,21,Desert,"registaan , metha"
13,22,Deserve,"haqdar , mustahiq"
13,23,Desire,"khwahish , chahna"
13,24,Desperation,"Having great need of something ,koi cheez ko bahot chahna"
13,25,Destination,manzil
14,1,Destiny,"fate , taqdeer"
14,2,Destruction,tabahi
14,3,Detach,"opp of attach , alag karna"
14,4,Determination,"azm ,firmness of purpose, doing a thing exactly"
14,5,Determination,"azm ,irada , koi cheez ka azam, maqsad"
14,6,Determine,"establish by research or calculation ,"
14,7,Detrimental,adamant
14,8,Devotee,"ibadat karne wale , aaqidat mand"
14,9,Dew,shabnaam
14,10,Dignity,"shaan , worthiness"
14,11,Diligent,"mehnati , hard worker"
14,12,Dilute,"kamzor hona , pani mila kar patal kaana"
14,13,Dim,dheema
14,14,Dimensions,"jasamat , measurable extent, as length, breadth, depth"
14,15,Dine,"food , khana"
14,16,Diplomacy,hikmat e amali
14,17,Diplomatic,"not taking one’s side , hikmat se kaam karne wala"
14,18,Directives,"hidayat , order from an authority"
14,19,Disappear,"cease to be visible , ghayab hona"
14,20,Disappoint,"fail to fullfill the desire or expectation of , maa’use"
14,21,Disapproval,na manzoori
14,22,Disapprove,na pasand karna
14,23,Disaster,"calamity, barbadi"
14,24,Discard,"reject as unwanted , remove"
14,25,Discipline,adab
15,1,Disco,raqs
15,2,Discord,"opp of concord , na ittefaqi"
15,3,Discovery,daryaft
15,4,Discredit,badnami
15,5,Discrepancy,"difference , ikhtilaaf , farq"
15,6,Disgusted,bezar
15,7,Dispatch,send to destination
15,8,Dispute,"argue about , Bahes karna"
15,9,Dissemble,"opp of assemble , alag alag karna"
15,10,Distinct,"munfarid , bahot acha , sab se alag"
15,11,Distinct,"wazeh, clearly seen , tameez , imtiyaz ,"
15,12,Distinction,martaba
15,13,Distinctly,"munfarid tour par sab se alag , wazeh tor par"
15,14,Distinguish,"differentiate , mumtaaz"
15,15,Distract,"disturbing, tawajje hatana"
15,16,Ditch,gadha
15,17,Divert,"hata dena , turn aside"
15,18,Document,tehriree dastaavez
15,19,Does,karta hai
15,20,Does matter,ahmeat rakhta hai
15,21,Domain,"range , daera e aqtedaar , elaqa , area under one rule"
15,22,Domestic,"gharelu , household, or family affairs"
15,23,Dominate,"have control or power , galib aana"
15,24,Doomed,barbad
15,25,Dose,khuraak
16,1,Dove,kabootar
16,2,Dowry,jahez
16,3,Doze,"sleep lightly , halki neend"
16,4,Drag,"khench kar dalna ya lana , ghaseetna"
16,5,Draw,"nikalna , utarna , khenchna"
16,6,Drawback,kharabi
16,7,Drill,"Make a hole, especially with a pointed power or hand tool"
16,8,Drive,"jabran , majbor karna , force, repel, ride, cause, chalana bike etc"
16,9,Dual,dugna
16,10,Due to,is wajhe se
16,11,Duo,Jodi
16,12,Effort,koshish
16,13,Elegant,"simple and stylish , like elegant dress"
16,14,Elementary,relating to most basic aspects
16,15,Elite,"good part , behtareen , eg. elite colleges"
16,16,Else,"otherwise , nahi to"
16,17,Elsewhere,kahin aur
16,18,Embrace,"hug , gale lagana"
16,19,Embryology,study regarding pregnancy
16,20,Endure,bardasht karna
16,21,Engage,masroof
16,22,Enhance,"increase quality ,skill, value , badhna hunar me"
16,23,Enormous,bahot bada
16,24,Enterprise,"kaar e azeem , bahot bada kaam karna , muheem"
16,25,Enthusiasms,"feeling of excitement , Ahsas e khushi"
17,1,Erect,sidha khada karna
17,2,Essential,necessary
17,3,Establish,"qayam karna , wazeh karna"
17,4,Estate,virasat
17,5,Esteem,respect
17,6,Etch,"naqsh lagana , thappa lagana"
17,7,Eternity,"hamesha zinda rehne wala , zindagi k baad bhi , eternal truth"
17,8,Etiquette,"aadab , taazeem"
17,9,Eventually,finally
17,10,Everything or nothing,karo ya maro
17,11,Evident,"obvious , saaf zaher hai"
17,12,Exactly,bilkul theek
17,13,Exceed,badh jana
17,14,Excel,"Good performance, galib hona , bazi lejana"
17,15,Exceptional,la jawab
17,16,Excess,"badh jana , tajawoz karna"
17,17,Excessive,"excessive use , bahot ziyada use karna"
17,18,Exclude,"shamil na kar na , chod ke"
17,19,Excruciating,had se ziyada takleef
17,20,Expense,kharch
17,21,Expire,muddat khatam hona
17,22,Explicitly,"expressed, wazeh tour par, tashreeh karna"
17,23,Exploit,pura istemal karna
17,24,Explore,"find , tehqeeq karna , chan been karna"
17,25,Expose,"leave uncovered , zahir hona"
18,1,Exposed,zaher ho gaya
18,2,Express,bayan karna
18,3,Extend,badhana
18,4,Exterior,"outer part , bahar ka hissa"
18,5,Familiar,"well known , waqif , jana pehchana"
18,6,Fare,kiraya
18,7,Farewell,alwida
18,8,Fascinating,interesting
18,9,Fatal,"marjana , halakat"
18,10,Fatality,hadse me marjana
18,11,Fate,"destiny , taqdeer"
18,12,Fear,darr
18,13,Fetch,"jaa kar lana , go for and bring back"
18,14,Feud,"argument , bahez, lambi takrar"
18,15,Figure out,understand
18,16,Firm,"not changing , pakka , tai hai, atal , mansuba"
18,17,Flaunting,fakhar se dikhawa
18,18,Flee,escape
18,19,Forbid,"mana karna, rok na"
18,20,Forbidden,"mam’nua, jis cheez ko mana kia gaya hai."
18,21,Formal,"following rules of polite behavior , dastoor k mutabiq , baqaida"
18,22,Fortune,"naseeb , qismat"
18,23,Frank,"honest and direct , saf saf be jhijak sach bolna"
18,24,Freak,Abnormal
18,25,Free will,"ikhtiyar , rights"
19,1,Freeze,"turn to be into solid , jamm’na . munjamid hona"
19,2,Fulfill,"complete karna , pura karna"
19,3,Fume,"vapour , bukharaat"
19,4,Funeral,janaza
19,5,Funky,strikingly stylish and un usual (2) buzdil kaam chor
19,6,Fussy,awaz pukara
19,7,Gala,"jashn , celebration"
19,8,Galaxy,"sitaaron ka jhund , collection of millions of stars"
19,9,Gambling,juwa
19,10,Geared up,"prepared , lined up , tayyar ho jana"
19,11,Geek,a person who is socially uncomfortable or un fasionable
19,12,Generous,"sakhi,dil khol ke dene wala , shareef"
19,13,Genesis,the origin of some thing
19,14,Genuine,"true, sahii, authentic"
19,15,Geology,study of physical structure of earth
19,16,Gesture,ishare ke zariye bolna
19,17,Give up,"chod dena , tark kar dena"
19,18,Glad,kush
19,19,Glare,gusse se ghorna
19,20,Gloat,"importance , ahmiat dena"
19,21,Glory,"shohraat , fame or honour won by notable achievements"
19,22,Go getter attitude,"jo thaan lia hai use kara ,attitude"
19,23,Go on,continue
19,24,Gossip,"gap shap , dosrun k bare me afwahen phailana"
19,25,Grace,rahmat
20,1,Grace,"waqt mangna, delay granted a year grace"
20,2,Grant,"permit , ijazat"
20,3,Graveyard,qabrastaan
20,4,Graveyard,qabrastaan
20,5,Greet,"welcome , wishing good morning , afternoon"
20,6,Grief,"malaal , like regret"
20,7,Grill,bake
20,8,Grownup,"adult, Balig"
20,9,Grumble,bdbadana
20,10,Guilty,qusoor
20,11,Gut feeling,"instinctive (2) destroy , fire gutted most of the factory"
20,12,Guts,"courage , determination"
20,13,Halt,"waiting , stop , interrupt , to stand in doubt whether to proceed"
20,14,Harm,"nukhsaan , zarar"
20,15,Harmony,"agreement, concord, ittefaq , do aadmi koi ek baat ko manna"
20,16,Has been,"kiya gaya ,( name & he ,she , it ke saatth)"
20,17,Have been,"kiya gaya , (I ,you ,we , they ke saath )"
20,18,Hawk,"= shaheen , baaz"
20,19,He,vo ladka
20,20,Heal,make or be well
20,21,Hectic,thak jaana
20,22,Held,giriftar karna
20,23,Her,"iska , usko , usse, iss ladki ka"
20,24,Here,yahan
20,25,Hereafter,aaqirat
21,1,Heritage,virsaa
21,2,Hike,badh na aya kam hona
21,3,Him,"iska , usko , usse, iss ladke ka"
21,4,Hire,kiraye pe lena
21,5,Hoar,"ghin , pasand na karna"
21,6,Hold down,wait
21,7,Homesick,"ghar ki yaad me satya hoa , person sad being away from home"
21,8,Hoot,shout = screem =screech = noice = shor sharaba = awaz pukara
21,9,Horrible,khof naak
21,10,Household,gharelu
21,11,How are u doing,kaise ho aap
21,12,However,"jo kuch bhi ho, in whatever way"
21,13,Humble,aajizgi se
21,14,Humiliate,zaleel karna = badnaam karna
21,15,Hurricane,bada toofan
21,16,Hypocrites,"munafiq , riya kaar ,dogle insaan"
21,17,Identical,"waise hi , same"
21,18,Identify,pehchanna
21,19,Ideology,nazariya
21,20,Idle,"kahil, bekar"
21,21,Ignite,"fire , aag lagana"
21,22,Illusion,false idea
21,23,Illustrious,"mashoor , celebrated"
21,24,Imaginary,"khayali , farzi"
21,25,Imagine,image zahen me bana na
22,1,Immune,"protected , mahfooz"
22,2,Impact,"strong effect , influence , asar"
22,3,Implementation,"amal me lana , putting into effect"
22,4,Impose,"aayad karna , tax lagana"
22,5,Impression,"naqsh , thappa lagana , mark made by pressing"
22,6,Impulse,"dhakka , sadma"
22,7,In addition,"aur, further"
22,8,In most,induruni
22,9,Inadequate,"in sufficient , not enough"
22,10,Incentive,"motive , targeeb"
22,11,Include,sshamil karna
22,12,Incredible,unbelievable = na qabile yaqeen
22,13,Indeed,"bilkul , yaqeenan"
22,14,Indiscriminate,"confused , done or acting at random"
22,15,Individual,"infeadi, of single person or thing"
22,16,Induct,"dakhil karana , introduce someone formally to a post"
22,17,Inferiority complex,ahsaas e kamtari = apne aap ko kam samajhna
22,18,Inferno,"jahannam , large uncomfortable fire"
22,19,Influence,asar hona
22,20,Infringement,khilaaf warzi
22,21,Ingredient,ajza
22,22,Inmates,gharwale
22,23,Insist,"takeed karna , koi cheez karne ya manne par majnoor karna"
22,24,Inspire,mutaasir hona
22,25,Install,gaddi per baithana
23,1,Integral,"also , complete"
23,2,Integrate,"accept some one as part of group , mukammal"
23,3,Intense,"sakt zahini tour par ,extremely serious"
23,4,Intension,maqsad = matab = irada = niyyat
23,5,Intensive,"bada hone wala khench ne , like rubber , intensive screen"
23,6,Intent,"intend = niyyat , irada"
23,7,Interact,"baat cheet karna ,taamul ,act on each other"
23,8,Intercept,"stop or seize in passage ,rah me rok lenaya pakad lena"
23,9,Interception,rah me rok lenaya pakad lena
23,10,Interior,"inner part, indar ka hissa"
23,11,"Intern , internship",tarbiyat nigraani k indar
23,12,Interpret,"ki tashreeh karna , samjhana"
23,13,Interrogate,"tehqi.qaat , sawal"
23,14,Interrupt,"disturb , rukawat"
23,15,Intoxicant,"nashewar sheezen , alcoholic"
23,16,Intruder,"ghuspeitia , chor"
23,17,Invent,"create by thought ,iejaad"
23,18,Involve,shamil karna
23,19,Irrespective,"ka lihaz na karte hoai , koi cheez ko nazar andaz karte hoai"
23,20,Isn’t it,hai na?
23,21,It,"ye cheez , koi cheez"
23,22,Jerk,"dhakka , sadma"
23,23,Juridical,qanoni
23,24,Justification,"explanation , jawaz pesh karna"
23,25,Keep,rakhna
24,1,Killer instinct,ruthless determination to win or succeed
24,2,Kind,"sort , rahemdil"
24,3,Kind of,thoda thoda
24,4,Knock down,"girana , todna demolish , a building etc"
24,5,Knocked,takrayaa
24,6,Knot,Gurooh
24,7,Knout,"ganth , gheenti"
24,8,Lack,"kami , lack of confidence etc"
24,9,Lasting,"Existing for a long time , long lasting friendship"
24,10,Lasting,rehna
24,11,Latest,"new thing , nayee , jadeed (2) baad ki baat"
24,12,Lay down,"give up, surrender, like riding slow to prevent from collision"
24,13,Lay off,nikal dena
24,14,Legend,"dastaan , a traditional story , famous or remarkable event or per-"
24,15,son,
24,16,Lender,qarza dene wala
24,17,Let it be,jaane do chodo
24,18,Let it go,jane do
24,19,Let me know,mujhe batao
24,20,Let’s establish that,ise wazeh karo
24,21,Liberal,"darya dil , sakhi"
24,22,Lined up,prepared
24,23,Liquor,sharaab
24,24,Literally,pretti obvious = lafzi tour par = saaf dekh raha hai
24,25,Loneliness,"tanhai , akela pan"
25,1,Loyal,fawadaar
25,2,Lucifer,shaitaan
25,3,Manipulate,"cleaverly doing , koi kam subukdoshi se karna"
25,4,Marvelous,hairaat angez
25,5,Massive,bahot bada
25,6,Mate,bhai
25,7,Mature,balig
25,8,Mean,"matlab, mayine"
25,9,Meanwhile,"darmian , during , lakin dono ka istemal santance k sat alag alag"
25,10,hai,
25,11,Meekly,quiet and obedient
25,12,Memorize,yaad karna
25,13,Mere,sirf
25,14,Merit,skill = Qabiliat
25,15,Mess,"a confusion or difficulty state, and wo jagha jahan log khate hain"
25,16,Mine,mera
25,17,Mingle,milna
25,18,Minute,"extremely small , zara sa , chota sa"
25,19,"Miscellaneous, (abb) misc",muqtalif qism ke items or people
25,20,Misconception,galat fehmian
25,21,Mold,"change , saanche me dhalna"
25,22,Morrow,"kal , the next or following day"
25,23,Move on,"aage badhna , Time moves on= waqt hogaya hai aage badh ne ka"
25,24,Much less,Bahot ziyada kum
25,25,Muffle,"ki sadai ahtejaj ko daba na , muffler"
26,1,Murky,"dark & gloomy , andhera"
26,2,Mutually exclusive,opposite to each other
26,3,My way or high way,aar ya par
26,4,Nail,"nakhun , keel thokna"
26,5,Nap,sleep lightly or briefly
26,6,Narrate,story tafseel se kehna
26,7,Negligence,nazar andaaz karna
26,8,Negligent,ghafil
26,9,Negotiate,"for settlement , Discuss the terms of an arrangement"
26,10,Neither,dono me se koi nahi
26,11,Neither nor,"na ye , na wo"
26,12,Neo,"new , naya"
26,13,Newcomer,naya aane wala
26,14,Next to you,aage
26,15,Nightmare,drawona khawab
26,16,Nominee,namzad kiya gaya = selected
26,17,Notify,"ittalla dena , report"
26,18,Novice,"unskilled person , beginner , anadi"
26,19,Numb,sunnn
26,20,Objection,aiteraaz
26,21,Observe,ghour se dekhna
26,22,Obstacle,rukawat
26,23,Obvious,"saaf zaher hai , nazaar aara"
26,24,Occasion,mouqa
26,25,Occupy,me rehna
27,1,Occur,hona
27,2,Offence,"jurm, hamla karna , opp w defence"
27,3,On purpose,jaan bujh ke
27,4,On the other hand,ya phir iske alawa
27,5,Once,ek baar
27,6,Onward,"forward , aage k taraaf"
27,7,Opera,musica drama
27,8,Oppose,mukhalifat karna
27,9,"Opt , Opted","Shapat lena , qasam kha ne jaisa"
27,10,Optimal,"suggested, behtareejn , bil kul theek"
27,11,Optimist,is baat ka yakeen rakhna k duniya ka har kaam ache k lie hote
27,12,"hai,isa",
27,13,Optimize,"har kaam ache k lie hote hai , iska khayal rakhna . ya iska izhar"
27,14,karna,
27,15,Option,choice
27,16,Ore,kachi dhaat
27,17,Origin,"nukta e aagaz , jahan se shuru hota"
27,18,Orphan,yateem
27,19,Orthodox,sahi aqeeda rakhne wale
27,20,Ought,"must , chahiye ,lazim hai"
27,21,Our,hamara
27,22,Outburst,jazbat bhar aana
27,23,Outcome,"result , natija"
27,24,Outdo,se behtar kaam karna
27,25,Outfit,cloths = libas
28,1,Outlook,nazariya
28,2,Overestimate,koi cheez ko ziyada samajhna
28,3,Overtly,"publicly , khullam khulla"
28,4,Panel,"fehrist , list of names or things , and choktha , like phone panel"
28,5,Panic,"fear , Darr ,sudden un controllable fear"
28,6,Partial,"in complete , adhoora"
28,7,Patent,like certificate to sale a invented electronic gadget
28,8,Pathetic,"aisi situation jis per ahem aaye , arousing pity"
28,9,Pattern,"repeating , series of thing occur regularly"
28,10,Peculiar,"aajib , strange"
28,11,Peer,hum umr saathi
28,12,Pepper,kali mirch
28,13,Perception,way of thinking
28,14,Perish,fanaa
28,15,Permissible,Jayaz
28,16,Petition,"formal written request , Darkhuast"
28,17,Phenomenal,unbelievably great
28,18,Pigtail,choti = upper end part of mountain
28,19,Pilferer,Choti moti chori karne wala
28,20,Pinch,"chutki bhar , thodasa , very less in quantity , chutki lena"
28,21,Pious,deendar
28,22,Pity,hum dardi
28,23,Plead,"answer to claim , daweh ka jawab dena"
28,24,Plenty,bahot ziyada
